experiment	commit	metric	status	description
mdit_rgb_text_3token_100	1927e6c6692b000b9115050069c43396bca0fa40	-1.000000	train_error	MDIT 5RGB+text 3-token fusion 100ep: (MaxRetryError("HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /timm/vit_base_patch16_clip_224.openai/resolve/main/model.safetensors (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f46779ea5f0>: Failed to establish a new connection: [Errno 1] Operation not permitted')))"), '(Request ID: 115d6f3f-094d-4b0f-8e76-08fdfa2fc902)')
lane_a_mainline_100	1927e6c6692b000b9115050069c43396bca0fa40	0.550000	measured	Lane A mainline: 5RGB + text + CLIP last-block + PDIT FM/DiT semantics
lane_a_stabilized_100	768929b7d4ea0c6217cf2bf4f7bd6420b87ccde8	-1.000000	train_error	Lane A stabilized audit recipe: mean_first_n + smooth_actions: [enforce fail at inline_container.cc:664] . unexpected pos 2602795840 vs 2602795728
lane_a_stabilized_100	768929b7d4ea0c6217cf2bf4f7bd6420b87ccde8		trained_pending_audit	Lane A stabilized audit recipe: mean_first_n + smooth_actions
lane_a_stabilized_100	768929b7d4ea0c6217cf2bf4f7bd6420b87ccde8	-1.000000	collapsed	Lane A stabilized audit recipe: mean_first_n + smooth_actions
lane_b_faithful_100	768929b7d4ea0c6217cf2bf4f7bd6420b87ccde8	-1.000000	train_error	Lane B faithful challenger: multitask-style concat conditioning + shared audit chain: (MaxRetryError("HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /timm/vit_base_patch16_clip_224.openai/resolve/main/model.safetensors (Caused by ProxyError('Cannot connect to proxy.', TimeoutError('_ssl.c:1000: The handshake operation timed out')))"), '(Request ID: 4de944c2-7728-468a-83d0-51d3b3f6962e)')
lane_c_mtdp_strict_100	5dc84177ab1921784b31565af9738c047a645beb		trained_pending_audit	Lane C strict MTDP challenger: global conditioning + RoPE + beta timestep sampling
lane_c_mtdp_strict_100	5dc84177ab1921784b31565af9738c047a645beb	-1.000000	collapsed	Lane C strict MTDP challenger: global conditioning + RoPE + beta timestep sampling
lane_a_mainline_500_resume	66dbc7dc37f07655bd0601cf24f10d4c079d6835	-1.000000	collapsed	Fallback to incumbent best RGB+text mainline by resuming epoch_0100 toward 500 epochs
put_books_on_bookshelf_mainline_500	c5b6c7736741e30af3d4659ececfcee6a32b9f0b		trained_pending_audit	Put books on bookshelf MDIT mainline 500 epochs
