experiment	commit	metric	status	description
2026-04-13\trgb5_sep_lastblock_a8_lr2e5_100_v2\t28adab6\tsuccess@20=0.2\tFAILED\toutput_proj fix, still below 0.45 gate
pcd_pdit_probe_bs64	b1feca59a21bcf513acf519f92239dfbb85a1322	-1.000000	train_error	pcd+pdit vram probe bs64: CUDA error: out of memory Search for `cudaErrorMemoryAllocation' in https://docs.nvidia.com/cuda/cuda-runtime-api/group__CUDART__TYPES.html for more information. CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect. For debugging consider passing CUDA_LAUNCH_BLOCKING=1 Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions. 
pcd_pdit_probe_bs48	b1feca59a21bcf513acf519f92239dfbb85a1322	-1.000000	train_error	pcd+pdit vram probe bs48: CUDA error: out of memory Search for `cudaErrorMemoryAllocation' in https://docs.nvidia.com/cuda/cuda-runtime-api/group__CUDART__TYPES.html for more information. CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect. For debugging consider passing CUDA_LAUNCH_BLOCKING=1 Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions. 
pcd_pdit_probe_bs32	b1feca59a21bcf513acf519f92239dfbb85a1322	-1.000000	train_error	pcd+pdit vram probe bs32: CUDA error: out of memory Search for `cudaErrorMemoryAllocation' in https://docs.nvidia.com/cuda/cuda-runtime-api/group__CUDART__TYPES.html for more information. CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect. For debugging consider passing CUDA_LAUNCH_BLOCKING=1 Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions. 
pcd_pdit_probe_bs24	b1feca59a21bcf513acf519f92239dfbb85a1322	-1.000000	train_error	pcd+pdit vram probe bs24: CUDA error: out of memory Search for `cudaErrorMemoryAllocation' in https://docs.nvidia.com/cuda/cuda-runtime-api/group__CUDART__TYPES.html for more information. CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect. For debugging consider passing CUDA_LAUNCH_BLOCKING=1 Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions. 
pcd_pdit_probe_bs16	b1feca59a21bcf513acf519f92239dfbb85a1322	-1.000000	train_error	pcd+pdit vram probe bs16: CUDA error: out of memory Search for `cudaErrorMemoryAllocation' in https://docs.nvidia.com/cuda/cuda-runtime-api/group__CUDART__TYPES.html for more information. CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect. For debugging consider passing CUDA_LAUNCH_BLOCKING=1 Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions. 
rgb5_sep_lastblock_a8_lr1p5e5_100_v2	5a94ae57af66e2afa58897e7ac06f9b1f9915943		trained_pending_audit	5RGB+obs3+last_block+a8+lr1.5e5 - output_proj fix
rgb5_sep_lastblock_a8_lr1p5e5_100_v2	5a94ae57af66e2afa58897e7ac06f9b1f9915943	0.100000	keep	5RGB+obs3+last_block+a8+lr1.5e5 - output_proj fix
2026-04-13\trgb5_sep_lastblock_a8_lr1p5e5_100_v2\t28adab6\tsuccess@20=0.1\tFAILED\tlr=1.5e-5, output_proj fix
mdit_trial	fc37e7e75c8a3df28f136aa734ded327a12eef36		trained_pending_audit	unplug_charger_mdit_rgb5_pdittoken_lastblock_a8_gate100__mdit_trial__e0001__20260413_171449
